연번,발생일,사고유형,발생역,발생시간
1,2025-12-30,역구내 사고,쌍문역,10:33
2,2025-12-20,열차내 사고,천호(5)역,10:46
3,2025-12-15,발빠짐,회현역,12:22
4,2025-12-14,역구내 사고,신정네거리역,06:18
5,2025-12-12,출입문관련,석촌역,08:14
6,2025-12-12,승강설비관련,여의나루역,19:12
7,2025-12-07,역구내 사고,봉천역,08:50
8,2025-12-05,열차내 사고,구로디지털단지역,17:25
9,2025-12-04,역구내 사고,혜화역,21:50
10,2025-12-03,발빠짐,동대문(4)역,08:43
11,2025-12-02,발빠짐,합정(6)역,07:13
12,2025-12-02,발빠짐,동대문역사문화공원(4)역,08:21
13,2025-12-01,승강설비관련,공덕(6)역,22:55
14,2025-12-01,열차내 사고,충정로(2)역,08:25
15,2025-11-28,승강설비관련,온수(7)역,21:40
16,2025-11-27,발빠짐,고속터미널(7)역,20:20
17,2025-11-26,역구내 사고,마포구청역,13:42
18,2025-11-25,발빠짐,동대문역사문화공원(4)역,07:59
19,2025-11-25,출입문관련,서울(4)역,17:22
20,2025-11-25,승강설비관련,먹골역,10:23
21,2025-11-24,승강설비관련,가산디지털단지(7)역,14:00
22,2025-11-22,열차내 사고,선릉역,12:36
23,2025-11-21,승강설비관련,동대문(4)역,10:15
24,2025-11-16,출입문관련,연신내(3)역,10:32
25,2025-11-14,발빠짐,면목역,08:15
26,2025-11-14,발빠짐,고속터미널(7)역,17:48
27,2025-11-13,출입문관련,을지로3가(2)역,18:07
28,2025-11-12,발빠짐,석촌역,18:14
29,2025-11-10,발빠짐,철산역,20:33
30,2025-11-09,출입문관련,동작역,07:14
31,2025-11-08,출입문관련,방학역,10:33
32,2025-11-08,열차내 사고,수유역,20:15
33,2025-11-06,승강설비관련,천호(5)역,08:25
34,2025-11-05,승강설비관련,성신여대입구역,12:52
35,2025-11-05,출입문관련,신도림(2)역,15:47
36,2025-11-04,출입문관련,오금(3)역,16:22
37,2025-11-04,출입문관련,동대문역사문화공원(4)역,18:34
38,2025-11-03,발빠짐,고속터미널(7)역,21:55
39,2025-11-01,출입문관련,회현역,21:20
40,2025-10-30,열차내 사고,초지역,16:50
41,2025-10-30,열차내 사고,금정역,12:58
42,2025-10-29,출입문관련,을지로입구역,15:01
43,2025-10-29,출입문관련,뚝섬역,08:31
44,2025-10-29,역구내 사고,화곡역,09:50
45,2025-10-28,열차내 사고,모란역,11:04
46,2025-10-28,출입문관련,왕십리(5)역,08:27
47,2025-10-28,출입문관련,회현역,12:13
48,2025-10-26,발빠짐,고속터미널(7)역,16:00
49,2025-10-24,출입문관련,영등포시장역,17:55
50,2025-10-24,출입문관련,교대(2)역,18:15
51,2025-10-23,발빠짐,고속터미널(7)역,23:18
52,2025-10-22,출입문관련,한성대입구역,09:36
53,2025-10-21,출입문관련,군자역,08:26
54,2025-10-21,열차내 사고,합정(2)역,18:45
55,2025-10-20,출입문관련,구파발(3)역,08:33
56,2025-10-20,열차내 사고,응암역,18:30
57,2025-10-18,역구내 사고,수락산역,22:44
58,2025-10-18,발빠짐,동대문역사문화공원(5)역,20:46
59,2025-10-17,열차내 사고,천호(5)역,09:17
60,2025-10-17,열차내 사고,마포구청역,13:45
61,2025-10-16,열차내 사고,서울대입구역,12:13
62,2025-10-16,출입문관련,안국역,08:18
63,2025-10-15,승강설비관련,상월곡역,20:55
64,2025-10-15,발빠짐,구로디지털단지역,16:18
65,2025-10-15,출입문관련,강동역,06:03
66,2025-10-14,출입문관련,상계역,10:14
67,2025-10-14,발빠짐,고속터미널(7)역,09:12
68,2025-10-13,출입문관련,종로3가(5)역,15:28
69,2025-10-13,열차내 사고,을지로4가(5)역,20:30
70,2025-10-13,역구내 사고,압구정역,20:22
71,2025-10-13,발빠짐,고속터미널(7)역,18:00
72,2025-10-13,역구내 사고,이대역,19:04
73,2025-10-11,승강설비관련,서대문역,12:12
74,2025-10-11,열차내 사고,삼송역,13:12
75,2025-10-10,역구내 사고,석계(6)역,10:23
76,2025-10-10,역구내 사고,망원역,11:24
77,2025-10-10,승강설비관련,건대입구(7)역,11:47
78,2025-10-06,역구내 사고,오금(5)역,23:05
79,2025-10-04,역구내 사고,청량리역,11:35
80,2025-10-04,역구내 사고,신정역,14:43
81,2025-10-04,출입문관련,미아사거리역,21:07
82,2025-10-04,열차내 사고,가산디지털단지(7)역,16:50
83,2025-10-02,출입문관련,초지역,11:51
84,2025-10-02,승강설비관련,가산디지털단지(7)역,18:44
85,2025-10-02,출입문관련,군자역,08:36
86,2025-09-29,열차내 사고,낙성대역,10:49
87,2025-09-29,출입문관련,강남구청역,09:31
88,2025-09-28,역구내 사고,응암역,11:25
89,2025-09-28,역구내 사고,동대입구역,10:39
90,2025-09-27,승강설비관련,신도림역,20:00
91,2025-09-27,출입문관련,영등포구청(2)역,13:50
92,2025-09-27,출입문관련,을지로4가(2)역,18:05
93,2025-09-26,출입문관련,성수역,15:47
94,2025-09-26,열차내 사고,아현역,15:53
95,2025-09-26,열차내 사고,강남역,18:08
96,2025-09-25,역구내 사고,신당(6)역,13:07
97,2025-09-24,발빠짐,압구정역,18:41
98,2025-09-23,열차내 사고,광화문역,22:25
99,2025-09-23,열차내 사고,을지로4가(5)역,16:10
100,2025-09-23,열차내 사고,제5707열차,21:20
101,2025-09-22,승강설비관련,서울(4)역,14:12
102,2025-09-22,열차내 사고,오금(3)역,11:07
103,2025-09-21,역구내 사고,왕십리(5)역,22:55
104,2025-09-20,승강설비관련,청량리역,11:39
105,2025-09-20,승강설비관련,수유역,19:37
106,2025-09-20,역구내 사고,천호(8)역,05:42
107,2025-09-20,열차내 사고,용답역,08:54
108,2025-09-20,출입문관련,시청(1)역,18:33
109,2025-09-19,역구내 사고,미사역,15:30
110,2025-09-19,역구내 사고,종로5가역,19:19
111,2025-09-19,출입문관련,부천역,14:10
112,2025-09-19,출입문관련,올림픽공원역,08:29
113,2025-09-19,발빠짐,동대문(4)역,08:57
114,2025-09-18,역구내 사고,보문역,13:40
115,2025-09-17,역구내 사고,시청(1)역,10:43
116,2025-09-16,역구내 사고,구로디지털단지역,13:50
117,2025-09-16,열차내 사고,압구정역,20:34
118,2025-09-16,열차내 사고,압구정역,20:34
119,2025-09-16,발빠짐,구로디지털단지역,09:32
120,2025-09-16,승강설비관련,수락산역,12:37
121,2025-09-15,열차내 사고,대림(7)역,14:17
122,2025-09-15,역구내 사고,을지로3가(3)역,08:24
123,2025-09-15,승강설비관련,광명사거리역,14:17
124,2025-09-14,역구내 사고,신도림역,11:09
125,2025-09-14,출입문관련,서초역,16:28
126,2025-09-13,열차내 사고,시청(2)역,11:42
127,2025-09-13,발빠짐,발산역,09:55
128,2025-09-11,발빠짐,서울역,07:17
129,2025-09-11,역구내 사고,미아역,18:18
130,2025-09-11,열차내 사고,신도림역,18:50
131,2025-09-11,열차내 사고,역삼역,18:17
132,2025-09-11,승강설비관련,선릉(2)역,14:28
133,2025-09-11,열차내 사고,성수역,09:25
134,2025-09-11,출입문관련,동대문역사문화공원(4)역,12:47
135,2025-09-10,역구내 사고,까치산(5)역,09:10
136,2025-09-10,출입문관련,동대문역사문화공원(5)역,13:20
137,2025-09-10,발빠짐,압구정역,18:12
138,2025-09-09,기타,토목사업소,14:30
139,2025-09-09,역구내 사고,지축역,18:43
140,2025-09-09,승강설비관련,구의역,08:52
141,2025-09-09,열차내 사고,천호(8)역,11:07
142,2025-09-09,역구내 사고,모란역,13:24
143,2025-09-08,출입문관련,선릉(2)역,08:32
144,2025-09-08,역구내 사고,사당(2)역,20:30
145,2025-09-08,역구내 사고,불암산역,08:24
146,2025-09-06,출입문관련,아차산역,09:23
147,2025-09-06,승강설비관련,응암역,09:26
148,2025-09-05,출입문관련,노원(4)역,15:00
149,2025-09-04,출입문관련,시청(1)역,07:59
150,2025-09-04,역구내 사고,공릉역,16:55
151,2025-09-03,열차내 사고,수락산역,15:56
152,2025-09-03,출입문관련,고덕역,17:08
153,2025-09-02,출입문관련,창동역,18:13
154,2025-09-02,출입문관련,천호(5)역,08:42
155,2025-09-01,승강설비관련,마곡역,17:55
156,2025-09-01,승강설비관련,태릉입구(7)역,06:38
157,2025-08-31,역구내 사고,천호(5)역,18:52
158,2025-08-31,승강설비관련,약수(3)역,16:18
159,2025-08-30,승강설비관련,성수역,12:39
160,2025-08-29,출입문관련,길동역,17:03
161,2025-08-29,열차내 사고,고덕역,14:41
162,2025-08-27,출입문관련,고속터미널(7)역,17:44
163,2025-08-27,출입문관련,산본역,13:53
164,2025-08-27,출입문관련,태릉입구(6)역,15:23
165,2025-08-26,발빠짐,서대문역,22:31
166,2025-08-26,출입문관련,구의역,16:28
167,2025-08-25,역구내 사고,증산역,18:40
