역명n,총승하차,역위도,역경도
가락시장,1046333,37.492318,127.1177
가산디지털단지,2207542,37.480376,126.882704
가양,1290511,37.561111,126.855078
강남,4577941,37.49805,127.02795
강남구청,955066,37.517185,127.04122
강동,1091102,37.53581,127.13249
강동구청,633896,37.530348,127.120461
강변,1709826,37.535161,127.094684
강일,363679,37.557521,127.176018
개롱,387377,37.498097,127.134817
개화,123801,37.578591,126.797833
개화산,354931,37.572458,126.806838
거여,596892,37.493208,127.143983
건대입구,3477566,37.540408,127.069231
경복궁,1770486,37.575844,126.973576
경찰병원,431861,37.495754,127.124198
고덕,615574,37.555002,127.154214
고려대,574099,37.59034,127.03626
고속터미널,5738318,37.504953,127.004916
공덕,1912001,37.544005,126.951058
공릉,791506,37.625642,127.072969
공항시장,173583,37.563726,126.810678
광나루,702897,37.545301,127.103478
광명사거리,1370444,37.47927,126.854854
광화문,2101129,37.571645,126.976568
광흥창,550770,37.547464,126.931971
교대,2585975,37.493957,127.014431
구로디지털단지,3236934,37.4852931,126.901456
구반포,145216,37.501389,126.987222
구산,432966,37.611196,126.9172519
구의,1673459,37.537157,127.0862124
구파발,1359280,37.636612,126.918827
국회의사당,888158,37.528105,126.917874
군자,1638349,37.557102,127.079559
굽은다리,581930,37.545442,127.142844
금호,473531,37.548269,127.015785
길동,558012,37.538022,127.140085
길음,1330027,37.603387,127.025053
김포공항,1168512,37.56217,126.801273
까치산,1643535,37.5322,126.84645
낙성대,1690011,37.47713,126.963583
남구로,870255,37.486181,126.887372
남부터미널,1868181,37.48494,127.016289
남성,670334,37.484688,126.971108
남위례,487837,37.462839,127.139047
남태령,81730,37.464339,126.989081
남한산성입구,752849,37.451568,127.159845
내방,859137,37.48764,126.993541
노들,279199,37.512726,126.953096
노량진,1657126,37.513667,126.940917
노원,2703930,37.656274,127.063183
녹번,872616,37.600882,126.935758
녹사평,379023,37.53469,126.98665
논현,1079370,37.511108,127.021385
단대오거리,719436,37.445057,127.156735
답십리,901180,37.566833,127.05266
당산,2383653,37.534807,126.902611
대림,2121266,37.4932826,126.8949793
대청,599930,37.493607,127.079526
대치,735188,37.494601,127.063449
대흥,639583,37.547732,126.942214
도곡,358729,37.491129,127.055694
도림천,82745,37.5145589,126.882586
도봉산,615544,37.689131,127.046548
독립문,539733,37.574534,126.957902
독바위,162110,37.618413,126.933035
돌곶이,708261,37.610522,127.056419
동대문,2235697,37.571646,127.01069
동대문역사문화공원,2544272,37.565609,127.009083
동대입구,812187,37.55906,127.005273
동묘앞,1564676,37.573265,127.016459
동작,279735,37.503567,126.980171
둔촌동,815108,37.527787,127.136219
둔촌오륜,266487,37.519339,127.138619
등촌,728888,37.551111,126.864722
디지털미디어시티,871628,37.5760805,126.901343
뚝섬,1647653,37.54718,127.047413
마곡,959795,37.55865,126.837693
마곡나루,936953,37.566717,126.8276071
마들,778534,37.664985,127.057701
마장,353797,37.566066,127.042921
마천,415707,37.494972,127.152784
마포,839557,37.539718,126.946043
마포구청,839400,37.563529,126.903356
망원,1112502,37.556031,126.910129
매봉,701132,37.487114,127.046907
먹골,652773,37.610638,127.077719
면목,895309,37.588671,127.087503
명동,2509411,37.560955,126.986271
명일,502324,37.551317,127.144002
모란,303114,37.433988,127.129921
목동,1007832,37.526088,126.864296
몽촌토성,550489,37.517692,127.11274
무악재,255966,37.582658,126.950131
문래,1331672,37.517993,126.894766
문정,1234072,37.485931,127.122473
미사,1153192,37.56309,127.192954
미아,974521,37.626435,127.026151
미아사거리,1591978,37.613276,127.030083
반포,418423,37.508171,127.011717
발산,1425661,37.558692,126.837633
